Date,State,City,Age,Gender,Place of Death,Cause,#
2019-01-01,SP,São Paulo,< 9,M,HOSPITAL,OUTRAS,1
2020-01-01,SP,São Paulo,< 9,M,HOSPITAL,OUTRAS,4
2020-01-01,SP,São Paulo,< 9,M,HOSPITAL,PNEUMONIA,1
2020-01-01,SP,São Paulo,< 9,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,SP,São Paulo,10 - 19,M,HOSPITAL,OUTRAS,1
2020-01-01,SP,São Paulo,10 - 19,M,HOSPITAL,OUTRAS,2
2019-01-01,SP,São Paulo,20 - 29,M,HOSPITAL,OUTRAS,4
2020-01-01,SP,São Paulo,20 - 29,M,HOSPITAL,OUTRAS,3
2019-01-01,SP,São Paulo,30 - 39,M,HOSPITAL,OUTRAS,3
2019-01-01,SP,São Paulo,30 - 39,M,HOSPITAL,PNEUMONIA,2
2019-01-01,SP,São Paulo,30 - 39,M,HOSPITAL,SEPTICEMIA,1
2020-01-01,SP,São Paulo,30 - 39,M,HOSPITAL,OUTRAS,4
2020-01-01,SP,São Paulo,30 - 39,M,HOSPITAL,PNEUMONIA,2
2019-01-01,SP,São Paulo,40 - 49,M,HOSPITAL,OUTRAS,2
2019-01-01,SP,São Paulo,40 - 49,M,HOSPITAL,PNEUMONIA,1
2019-01-01,SP,São Paulo,40 - 49,M,HOSPITAL,SEPTICEMIA,1
2020-01-01,SP,São Paulo,40 - 49,M,HOSPITAL,OUTRAS,1
2020-01-01,SP,São Paulo,40 - 49,M,HOSPITAL,PNEUMONIA,2
2019-01-01,SP,São Paulo,50 - 59,M,HOSPITAL,OUTRAS,2
2019-01-01,SP,São Paulo,50 - 59,M,HOSPITAL,PNEUMONIA,1
2019-01-01,SP,São Paulo,50 - 59,M,HOSPITAL,SEPTICEMIA,2
2020-01-01,SP,São Paulo,50 - 59,M,HOSPITAL,OUTRAS,8
2020-01-01,SP,São Paulo,50 - 59,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-01,SP,São Paulo,50 - 59,M,HOSPITAL,PNEUMONIA,4
2020-01-01,SP,São Paulo,50 - 59,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,SP,São Paulo,60 - 69,M,HOSPITAL,OUTRAS,6
2019-01-01,SP,São Paulo,60 - 69,M,HOSPITAL,PNEUMONIA,3
2019-01-01,SP,São Paulo,60 - 69,M,HOSPITAL,SEPTICEMIA,5
2020-01-01,SP,São Paulo,60 - 69,M,HOSPITAL,OUTRAS,12
2020-01-01,SP,São Paulo,60 - 69,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,2
2020-01-01,SP,São Paulo,60 - 69,M,HOSPITAL,PNEUMONIA,3
2020-01-01,SP,São Paulo,60 - 69,M,HOSPITAL,SEPTICEMIA,3
2019-01-01,SP,São Paulo,70 - 79,M,HOSPITAL,OUTRAS,8
2019-01-01,SP,São Paulo,70 - 79,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,3
2019-01-01,SP,São Paulo,70 - 79,M,HOSPITAL,PNEUMONIA,10
2019-01-01,SP,São Paulo,70 - 79,M,HOSPITAL,SEPTICEMIA,4
2020-01-01,SP,São Paulo,70 - 79,M,HOSPITAL,OUTRAS,10
2020-01-01,SP,São Paulo,70 - 79,M,HOSPITAL,PNEUMONIA,6
2020-01-01,SP,São Paulo,70 - 79,M,HOSPITAL,SEPTICEMIA,2
2019-01-01,SP,São Paulo,80 - 89,M,HOSPITAL,OUTRAS,3
2019-01-01,SP,São Paulo,80 - 89,M,HOSPITAL,PNEUMONIA,8
2019-01-01,SP,São Paulo,80 - 89,M,HOSPITAL,SEPTICEMIA,3
